  # energy grid [eV]     epsr     epsi
       6.260808       0.048495      -0.003646
       6.277501       0.044066      -0.002433
       6.294194       0.040150      -0.001905
       6.310886       0.036750      -0.001635
       6.327579       0.033683      -0.001486
       6.344272       0.030950      -0.001479
       6.360965       0.028680      -0.001470
       6.377658       0.026854      -0.001129
       6.394351       0.025167      -0.000139
       6.411043       0.023098       0.001536
       6.427736       0.020246       0.003550
       6.444429       0.016556       0.005472
       6.461122       0.012138       0.007018
       6.477815       0.007121       0.007976
       6.494508       0.001724       0.008153
       6.511200      -0.003721       0.007487
       6.527893      -0.008868       0.006144
       6.544586      -0.013521       0.004548
       6.561279      -0.017907       0.003282
       6.577972      -0.022828       0.002620
       6.594664      -0.029225       0.001986
       6.611357      -0.037314       0.000041
       6.628050      -0.046073      -0.004415
       6.644743      -0.053791      -0.011303
       6.661436      -0.059585      -0.019165
       6.678129      -0.064182      -0.026626
       6.694821      -0.068959      -0.033597
       6.711514      -0.074739      -0.041007
       6.728207      -0.081542      -0.050037
       6.744900      -0.088762      -0.061750
       6.761593      -0.095264      -0.076938
       6.778285      -0.099398      -0.095934
       6.794978      -0.099042      -0.118136
       6.811671      -0.092427      -0.141364
       6.828364      -0.079689      -0.162516
       6.845057      -0.062800      -0.179652
       6.861750      -0.043659      -0.192491
       6.878442      -0.023446      -0.201121
       6.895135      -0.003405      -0.205643
       6.911828       0.015231      -0.206854
       6.928521       0.032022      -0.205890
       6.945214       0.046836      -0.203513
       6.961907       0.059464      -0.200765
       6.978599       0.070590      -0.199071
       6.995292       0.081956      -0.198974
       7.011985       0.095141      -0.199540
       7.028678       0.110472      -0.199145
       7.045371       0.127222      -0.196782
       7.062063       0.144870      -0.192253
       7.078756       0.163288      -0.184966
       7.095449       0.181396      -0.173982
       7.112142       0.197310      -0.159650
       7.128835       0.210193      -0.143732
       7.145528       0.220945      -0.127647
       7.162220       0.230878      -0.111179
       7.178913       0.240093      -0.093208
       7.195606       0.247630      -0.073285
       7.212299       0.252780      -0.051922
       7.228992       0.255672      -0.029484
       7.245684       0.256169      -0.005298
       7.262377       0.252448       0.021205
       7.279070       0.241809       0.048328
       7.295763       0.223461       0.071864
       7.312456       0.200391       0.087857
       7.329149       0.177539       0.096058
       7.345841       0.157520       0.099639
       7.362534       0.139407       0.101150
       7.379227       0.121766       0.100384
       7.395920       0.105002       0.096100
       7.412613       0.090917       0.088104
       7.429306       0.081124       0.077899
       7.445998       0.075639       0.067742
       7.462691       0.073061       0.058918
       7.479384       0.072169       0.051240
       7.496077       0.072798       0.044183
       7.512770       0.075243       0.037692
       7.529462       0.079972       0.032012
       7.546155       0.087634       0.028191
       7.562848       0.097804       0.028314
       7.579541       0.108183       0.033898
       7.596234       0.115898       0.044564
       7.612927       0.118839       0.058487
       7.629619       0.115999       0.073028
       7.646312       0.107941       0.085137
       7.663005       0.097191       0.092575
       7.679698       0.087227       0.095474
       7.696391       0.080148       0.096477
       7.713083       0.075042       0.098499
       7.729776       0.069354       0.101997
       7.746469       0.061981       0.105166
       7.763162       0.054047       0.106728
       7.779855       0.046796       0.107300
       7.796548       0.039956       0.108080
       7.813240       0.032225       0.109162
       7.829933       0.022793       0.109110
       7.846626       0.012738       0.105981
       7.863319       0.004983       0.099552
       7.880012       0.001720       0.092682
       7.896705       0.001620       0.089143
       7.913397       0.000820       0.089978
       7.930090      -0.003502       0.092958
       7.946783      -0.011437       0.095284
       7.963476      -0.021897       0.095603
       7.980169      -0.034288       0.093182
       7.996861      -0.047696       0.086730
       8.013554      -0.059831       0.075606
       8.030247      -0.068514       0.061172
       8.046940      -0.073352       0.045509
       8.063633      -0.075076       0.029757
       8.080326      -0.074271       0.014091
       8.097018      -0.070898      -0.001588
       8.113711      -0.064455      -0.016989
       8.130404      -0.054591      -0.031299
       8.147097      -0.041179      -0.043545
       8.163790      -0.024250      -0.052183
       8.180482      -0.005203      -0.055080
       8.197175       0.012691      -0.051427
       8.213868       0.026368      -0.043172
       8.230561       0.035240      -0.033503
       8.247254       0.040698      -0.024372
       8.263947       0.044154      -0.016041
       8.280639       0.046098      -0.008164
       8.297332       0.046402      -0.000758
       8.314025       0.045067       0.005612
       8.330718       0.042702       0.010287
       8.347411       0.040411       0.013180
       8.364104       0.039095       0.015071
       8.380796       0.038797       0.017134
       8.397489       0.038686       0.020174
       8.414182       0.037584       0.024076
       8.430875       0.034774       0.027816
       8.447568       0.030544       0.030088
       8.464260       0.026095       0.030131
       8.480953       0.022876       0.028234
       8.497646       0.021749       0.025578
       8.514339       0.022621       0.023550
       8.531032       0.024611       0.023132
       8.547725       0.026465       0.024540
       8.564417       0.027130       0.027155
       8.581110       0.026257       0.029858
       8.597803       0.024397       0.031663
       8.614496       0.022601       0.032431
       8.631189       0.021440       0.032910
       8.647881       0.020541       0.033807
       8.664574       0.019222       0.035072
       8.681267       0.017268       0.036155
       8.697960       0.014981       0.036700
       8.714653       0.012606       0.036766
       8.731346       0.010088       0.036301
       8.748038       0.007637       0.034937
       8.764731       0.005941       0.032632
       8.781424       0.005529       0.029963
       8.798117       0.006406       0.027639
       8.814810       0.008307       0.026187
       8.831503       0.010844       0.026050
       8.848195       0.013364       0.027588
       8.864888       0.014916       0.030792
       8.881581       0.014555       0.035018
       8.898274       0.011819       0.039037
       8.914967       0.007132       0.041445
       8.931659       0.001772       0.041367
       8.948352      -0.002708       0.038928
       8.965045      -0.005192       0.035184
       8.981738      -0.005524       0.031602
       8.998431      -0.004486       0.029282
       9.015124      -0.003222       0.028492
       9.031816      -0.002610       0.028767
       9.048509      -0.002932       0.029361
       9.065202      -0.003994       0.029715
       9.081895      -0.005495       0.029592
       9.098588      -0.007210       0.028860
       9.115280      -0.008836       0.027380
       9.131973      -0.009905       0.025217
       9.148666      -0.010055       0.022782
       9.165359      -0.009272       0.020656
       9.182052      -0.007933       0.019320
       9.198745      -0.006691       0.018866
       9.215437      -0.006040       0.018827
       9.232130      -0.005847       0.018569
       9.248823      -0.005554       0.017964
       9.265516      -0.004889       0.017434
       9.282209      -0.004168       0.017366
       9.298902      -0.003927       0.017586
       9.315594      -0.004273       0.017420
       9.332287      -0.004602       0.016355
       9.348980      -0.004082       0.014574
       9.365673      -0.002283       0.012807
       9.382366       0.000668       0.011829
       9.399058       0.004290       0.012181
       9.415751       0.007929       0.014107
       9.432444       0.010898       0.017503
       9.449137       0.012701       0.021970
       9.465830       0.013111       0.027027
       9.482523       0.012100       0.032249
       9.499215       0.009716       0.037363
       9.515908       0.005837       0.042156
       9.532601       0.000243       0.046048
       9.549294      -0.006760       0.048074
       9.565987      -0.014071       0.047611
       9.582679      -0.020399       0.044996
       9.599372      -0.025114       0.041297
       9.616065      -0.028511       0.037509
       9.632758      -0.031334       0.033936
       9.649451      -0.034085       0.030174
       9.666144      -0.036587       0.025609
       9.682836      -0.038076       0.020063
       9.699529      -0.037787       0.014150
       9.716222      -0.035670       0.009025
       9.732915      -0.032598       0.005554
       9.749608      -0.029751       0.003707
       9.766301      -0.027886       0.002745
       9.782993      -0.027095       0.001726
       9.799686      -0.026899      -0.000070
       9.816379      -0.026555      -0.002886
       9.833072      -0.025369      -0.006526
       9.849765      -0.022859      -0.010461
       9.866457      -0.018926      -0.013973
       9.883150      -0.013882      -0.016488
       9.899843      -0.008126      -0.017711
       9.916536      -0.002094      -0.017412
       9.933229       0.003589      -0.015587
       9.949922       0.008465      -0.012673
       9.966614       0.012585      -0.009119
       9.983307       0.016163      -0.004911
      10.000000       0.018959       0.000237
