  # energy grid [eV]     epsr     epsi
       9.782993      -0.103883       0.025456
       9.799686      -0.104751       0.027118
       9.816379      -0.107711       0.027620
       9.833072      -0.111752       0.026353
       9.849765      -0.116116       0.023356
       9.866457      -0.120497       0.018682
       9.883150      -0.124591       0.011946
       9.899843      -0.127346       0.002539
       9.916536      -0.126689      -0.009274
       9.933229      -0.120679      -0.021248
       9.949922      -0.109528      -0.029732
       9.966614      -0.096193      -0.032067
       9.983307      -0.084504      -0.028402
      10.000000      -0.076809      -0.021008
