  # energy grid [eV]     epsr     epsi
       7.178913      -0.133006       0.082893
       7.195606      -0.128535       0.072139
       7.212299      -0.121821       0.063721
       7.228992      -0.113934       0.059339
       7.245684      -0.107284       0.059359
       7.262377      -0.103796       0.062418
       7.279070      -0.104095       0.066733
       7.295763      -0.108146       0.070921
       7.312456      -0.115846       0.073781
       7.329149      -0.126913       0.073790
       7.345841      -0.140067       0.069063
       7.362534      -0.152472       0.058688
       7.379227      -0.161277       0.044102
       7.395920      -0.165629       0.027941
       7.412613      -0.166281       0.011995
       7.429306      -0.164099      -0.003005
       7.445998      -0.159744      -0.016569
       7.462691      -0.154133      -0.028459
       7.479384      -0.148033      -0.039203
       7.496077      -0.141275      -0.049548
       7.512770      -0.133139      -0.059457
       7.529462      -0.123379      -0.068165
       7.546155      -0.112433      -0.075034
       7.562848      -0.100865      -0.079841
       7.579541      -0.089158      -0.082494
       7.596234      -0.077869      -0.082952
       7.612927      -0.067696      -0.081345
       7.629619      -0.059455      -0.078240
       7.646312      -0.053535      -0.074909
       7.663005      -0.049166      -0.072670
       7.679698      -0.044830      -0.071767
       7.696391      -0.039461      -0.071203
       7.713083      -0.033228      -0.069599
       7.729776      -0.027311      -0.066365
       7.746469      -0.022721      -0.062097
       7.763162      -0.019534      -0.057723
       7.779855      -0.017266      -0.053687
       7.796548      -0.015517      -0.049881
       7.813240      -0.014331      -0.046031
       7.829933      -0.014083      -0.042183
       7.846626      -0.015030      -0.038839
       7.863319      -0.016996      -0.036756
       7.880012      -0.019101      -0.036599
       7.896705      -0.019878      -0.038110
       7.913397      -0.018526      -0.039698
       7.930090      -0.015975      -0.039766
       7.946783      -0.013909      -0.038249
       7.963476      -0.013155      -0.036289
       7.980169      -0.013344      -0.034959
       7.996861      -0.013601      -0.034526
       8.013554      -0.013321      -0.034514
       8.030247      -0.012595      -0.034223
       8.046940      -0.012100      -0.033448
       8.063633      -0.012280      -0.032759
       8.080326      -0.012820      -0.032786
       8.097018      -0.013092      -0.033614
       8.113711      -0.012641      -0.034924
       8.130404      -0.011266      -0.036196
       8.147097      -0.009160      -0.036802
       8.163790      -0.007023      -0.036431
       8.180482      -0.005519      -0.035494
       8.197175      -0.004668      -0.034693
       8.213868      -0.004015      -0.034405
       8.230561      -0.003007      -0.034592
       8.247254      -0.001193      -0.034801
       8.263947       0.001425      -0.034202
       8.280639       0.004037      -0.032098
       8.297332       0.005404      -0.028714
       8.314025       0.004868      -0.025206
       8.330718       0.002806      -0.022793
       8.347411       0.000220      -0.022056
       8.364104      -0.001854      -0.022836
       8.380796      -0.002749      -0.024387
       8.397489      -0.002558      -0.025742
       8.414182      -0.002042      -0.026510
       8.430875      -0.001727      -0.027113
       8.447568      -0.001455      -0.028048
       8.464260      -0.000782      -0.029428
       8.480953       0.000744      -0.031023
       8.497646       0.003404      -0.032216
       8.514339       0.006903      -0.032144
       8.531032       0.010218      -0.030361
       8.547725       0.012276      -0.027394
       8.564417       0.012797      -0.024331
       8.581110       0.012301      -0.021970
       8.597803       0.011543      -0.020430
       8.614496       0.010944      -0.019306
       8.631189       0.010353      -0.018178
       8.647881       0.009360      -0.017108
       8.664574       0.007890      -0.016581
       8.681267       0.006382      -0.016973
       8.697960       0.005448      -0.018184
       8.714653       0.005458      -0.019720
       8.731346       0.006367      -0.020993
       8.748038       0.007795      -0.021620
       8.764731       0.009283      -0.021569
       8.781424       0.010529      -0.021049
       8.798117       0.011468      -0.020359
       8.814810       0.012290      -0.019672
       8.831503       0.013197      -0.018813
       8.848195       0.013989      -0.017446
       8.864888       0.014102      -0.015612
       8.881581       0.013172      -0.013928
       8.898274       0.011475      -0.013144
       8.914967       0.009745      -0.013565
       8.931659       0.008665      -0.014956
       8.948352       0.008599      -0.016787
