  # energy grid [eV]     epsr     epsi
       5.259239      -0.044392      -0.022712
       5.275932      -0.045602      -0.024884
       5.292624      -0.046581      -0.027289
       5.309317      -0.047293      -0.029745
       5.326010      -0.047905      -0.032143
       5.342703      -0.048628      -0.034619
       5.359396      -0.049474      -0.037517
       5.376088      -0.050111      -0.041174
       5.392781      -0.049928      -0.045660
       5.409474      -0.048213      -0.050611
       5.426167      -0.044434      -0.055091
       5.442860      -0.038798      -0.057696
       5.459553      -0.032581      -0.057356
       5.476245      -0.027469      -0.054136
       5.492938      -0.024540      -0.048966
       5.509631      -0.024185      -0.042802
       5.526324      -0.026590      -0.036457
       5.543017      -0.031688      -0.030828
       5.559710      -0.038961      -0.026504
       5.576402      -0.048145      -0.023295
       5.593095      -0.060303      -0.021078
       5.609788      -0.077355      -0.021780
       5.626481      -0.099272      -0.030217
       5.643174      -0.120990      -0.051379
       5.659866      -0.133404      -0.085075
       5.676559      -0.129505      -0.123803
       5.693252      -0.109581      -0.157228
       5.709945      -0.080243      -0.178605
       5.726638      -0.049412      -0.187236
       5.743331      -0.022290      -0.186538
       5.760023      -0.000484      -0.180701
       5.776716       0.016505      -0.172723
       5.793409       0.029984      -0.164320
       5.810102       0.041396      -0.155844
       5.826795       0.051186      -0.146721
       5.843487       0.058735      -0.137010
       5.860180       0.063952      -0.127874
       5.876873       0.068059      -0.120078
       5.893566       0.072243      -0.112883
       5.910259       0.076229      -0.105113
       5.926952       0.078947      -0.096789
       5.943644       0.080150      -0.088891
       5.960337       0.080573      -0.081975
       5.977030       0.080899      -0.075677
       5.993723       0.080996      -0.069402
       6.010416       0.080325      -0.063245
       6.027109       0.078892      -0.057830
       6.043801       0.077325      -0.053465
       6.060494       0.076284      -0.049831
       6.077187       0.076012      -0.046197
       6.093880       0.076099      -0.041818
       6.110573       0.075637      -0.036548
       6.127265       0.073980      -0.031045
       6.143958       0.071271      -0.026144
       6.160651       0.068157      -0.022201
       6.177344       0.065238      -0.018982
       6.194037       0.062688      -0.015922
       6.210730       0.060132      -0.012571
       6.227422       0.056981      -0.009029
       6.244115       0.052996      -0.005866
       6.260808       0.048488      -0.003621
       6.277501       0.044058      -0.002408
       6.294194       0.040141      -0.001880
       6.310886       0.036741      -0.001609
       6.327579       0.033673      -0.001458
       6.344272       0.030939      -0.001448
       6.360965       0.028666      -0.001437
       6.377658       0.026837      -0.001095
       6.394351       0.025146      -0.000103
       6.411043       0.023074       0.001571
       6.427736       0.020221       0.003585
       6.444429       0.016529       0.005505
       6.461122       0.012110       0.007051
       6.477815       0.007094       0.008009
       6.494508       0.001696       0.008188
       6.511200      -0.003749       0.007524
       6.527893      -0.008896       0.006183
       6.544586      -0.013550       0.004590
       6.561279      -0.017937       0.003328
       6.577972      -0.022859       0.002670
       6.594664      -0.029257       0.002041
       6.611357      -0.037349       0.000103
       6.628050      -0.046113      -0.004345
       6.644743      -0.053838      -0.011224
       6.661436      -0.059641      -0.019079
       6.678129      -0.064249      -0.026532
       6.694821      -0.069038      -0.033495
       6.711514      -0.074835      -0.040897
       6.728207      -0.081658      -0.049919
       6.744900      -0.088905      -0.061625
       6.761593      -0.095442      -0.076812
       6.778285      -0.099618      -0.095816
       6.794978      -0.099308      -0.118041
       6.811671      -0.092735      -0.141309
       6.828364      -0.080029      -0.162519
       6.845057      -0.063155      -0.179725
       6.861750      -0.044009      -0.192641
       6.878442      -0.023763      -0.201350
       6.895135      -0.003658      -0.205939
       6.911828       0.015066      -0.207186
       6.928521       0.031948      -0.206216
       6.945214       0.046833      -0.203799
       6.961907       0.059503      -0.200998
       6.978599       0.070644      -0.199252
       6.995292       0.082008      -0.199113
       7.011985       0.095181      -0.199648
       7.028678       0.110497      -0.199231
       7.045371       0.127231      -0.196856
       7.062063       0.144864      -0.192320
       7.078756       0.163268      -0.185030
       7.095449       0.181363      -0.174044
       7.112142       0.197262      -0.159713
       7.128835       0.210128      -0.143802
       7.145528       0.220865      -0.127732
       7.162220       0.230787      -0.111288
       7.178913       0.240003      -0.093346
       7.195606       0.247550      -0.073448
       7.212299       0.252716      -0.052107
       7.228992       0.255626      -0.029690
       7.245684       0.256150      -0.005528
       7.262377       0.252473       0.020955
       7.279070       0.241893       0.048079
       7.295763       0.223602       0.071646
       7.312456       0.200569       0.087692
       7.329149       0.177728       0.095951
       7.345841       0.157699       0.099585
       7.362534       0.139562       0.101138
       7.379227       0.121889       0.100401
       7.395920       0.105090       0.096133
       7.412613       0.090970       0.088143
       7.429306       0.081146       0.077933
       7.445998       0.075634       0.067764
       7.462691       0.073034       0.058925
       7.479384       0.072123       0.051227
       7.496077       0.072737       0.044146
       7.512770       0.075173       0.037625
       7.529462       0.079902       0.031911
       7.546155       0.087576       0.028052
       7.562848       0.097773       0.028139
       7.579541       0.108195       0.033699
       7.596234       0.115961       0.044359
       7.612927       0.118952       0.058296
       7.629619       0.116152       0.072868
       7.646312       0.108117       0.085017
       7.663005       0.097376       0.092497
       7.679698       0.087407       0.095434
       7.696391       0.080313       0.096467
       7.713083       0.075189       0.098510
       7.729776       0.069483       0.102020
       7.746469       0.062094       0.105197
       7.763162       0.054146       0.106763
       7.779855       0.046882       0.107337
       7.796548       0.040031       0.108118
       7.813240       0.032291       0.109201
       7.829933       0.022851       0.109148
       7.846626       0.012788       0.106018
       7.863319       0.005026       0.099588
       7.880012       0.001756       0.092715
       7.896705       0.001651       0.089172
       7.913397       0.000848       0.090002
       7.930090      -0.003475       0.092980
       7.946783      -0.011410       0.095304
       7.963476      -0.021872       0.095624
       7.980169      -0.034265       0.093204
       7.996861      -0.047676       0.086753
       8.013554      -0.059816       0.075629
       8.030247      -0.068504       0.061192
       8.046940      -0.073345       0.045527
       8.063633      -0.075072       0.029772
       8.080326      -0.074269       0.014102
       8.097018      -0.070896      -0.001580
       8.113711      -0.064454      -0.016984
       8.130404      -0.054590      -0.031297
       8.147097      -0.041177      -0.043545
       8.163790      -0.024247      -0.052185
       8.180482      -0.005200      -0.055083
       8.197175       0.012696      -0.051431
       8.213868       0.026373      -0.043177
       8.230561       0.035246      -0.033509
       8.247254       0.040704      -0.024378
       8.263947       0.044161      -0.016046
       8.280639       0.046105      -0.008169
       8.297332       0.046408      -0.000763
       8.314025       0.045072       0.005607
       8.330718       0.042706       0.010281
       8.347411       0.040415       0.013173
       8.364104       0.039099       0.015062
       8.380796       0.038801       0.017125
       8.397489       0.038690       0.020164
       8.414182       0.037589       0.024066
       8.430875       0.034779       0.027806
       8.447568       0.030549       0.030079
